alpha_center_deg,delta_alpha_deg,beta_deg,z0x,z0y,z0z,x0x,x0y,x0z,smin,n_rows
-56.708999999999996,12.975197735145157,46.988555898600836,0.9876723091428162,-0.0,-0.15653565010085482,0.1565356501008548,-0.0,0.9876723091428161,0.0,6
-56.606500000000004,-56.606500000000004,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-56.5035,-56.5035,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-56.401,-56.401,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-56.2985,-56.2985,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-56.196,-56.196,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-56.093500000000006,-56.093500000000006,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-55.990500000000004,-55.990500000000004,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-55.888000000000005,-55.888000000000005,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-55.7855,-55.7855,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-55.682500000000005,-55.682500000000005,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-55.580000000000005,-55.580000000000005,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-55.477500000000006,-55.477500000000006,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-55.3745,-55.3745,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-55.272,-55.272,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-55.1695,-55.1695,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-55.06700000000001,-55.06700000000001,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-54.9645,-54.9645,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-54.8615,-54.8615,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-54.759,-54.759,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-54.6565,-54.6565,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-54.5535,-54.5535,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-54.451,-54.451,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-54.3485,-54.3485,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-54.245999999999995,-54.245999999999995,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-54.1435,-54.1435,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-54.0405,-54.0405,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-53.937999999999995,-53.937999999999995,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-53.8355,-53.8355,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-53.7325,-53.7325,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-53.629999999999995,-53.629999999999995,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-53.5275,-53.5275,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-53.4245,-53.4245,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-53.321999999999996,-53.321999999999996,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-53.219500000000004,-53.219500000000004,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-53.117,-53.117,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-53.014500000000005,-53.014500000000005,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-52.9115,-52.9115,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-52.809,-52.809,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-52.706500000000005,-52.706500000000005,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-52.603500000000004,-52.603500000000004,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-52.501000000000005,-52.501000000000005,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-52.3985,-52.3985,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-52.295500000000004,-52.295500000000004,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-52.193000000000005,-52.193000000000005,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-52.090500000000006,-52.090500000000006,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-51.988,-51.988,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-51.88549999999999,-51.88549999999999,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-51.782500000000006,-51.782500000000006,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-51.68000000000001,-51.68000000000001,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-51.5775,-51.5775,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-51.4745,-51.4745,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-51.372,-51.372,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
